,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
USP24,1.4079392,-0.0220716,0.021153688,0.23133904,-0.24954677,-0.012204051,-0.0010699034,0.05942583,0.005634129,-0.119800866,-0.09832084,0.07444322,-0.061379373,0.18335283,-0.07943213,0.027315319,-0.11780262,-0.3329262,0.025615096,-0.19942224
USP25,1.0930002,0.025224686,-0.17689466,0.33082962,0.017213821,-0.8331716,0.019866228,-0.07568598,-0.009638071,-0.23809075,-0.06355643,0.06496906,-0.043028593,0.010895729,-0.5659878,0.041610003,0.042408705,0.2420485,0.0048816204,-0.25203824
USP27X,0.49327612,0.05941093,-0.051259995,0.015571713,-0.2813667,-0.32776892,-0.0018745661,-0.11724532,0.07736385,-0.55999756,-0.053322315,-0.25603175,-0.26462376,-0.40552914,-0.5188346,-0.002515316,-0.052788854,-0.45898855,-0.088238716,-0.35134554
USP28,1.2883067,-0.19695163,-0.07503629,0.099903345,-0.2385199,-0.025129318,0.0027239323,-0.002413988,-0.0236094,-0.1401484,-0.12623072,0.1447618,0.09436607,0.17223954,0.44592023,-0.0152647495,-0.12061596,0.20380616,-0.018513203,-0.111317635
USP3,-0.063198805,0.11348724,-0.16939044,-0.22947192,0.095283985,-0.826329,0.0003695488,-0.023907423,0.039941072,-0.11074543,0.0972569,-0.10192394,-0.16027093,-0.14078021,-0.6721258,0.04003644,0.18942356,-0.23390055,-0.038343668,-0.124913454
USP30,1.0312766,0.07516295,0.07845983,-0.026923046,0.09790808,-0.03866963,-0.022162497,-0.29697233,0.005801022,-0.06288253,0.026211888,-0.1259815,0.1764588,0.124299526,-0.027171895,-0.026653334,-0.19062124,-0.21341257,0.002413988,-0.2625134
USP30-AS1,0.97784996,-0.0364542,0.116449594,0.38533807,-0.1942873,0.08606613,0.0075280666,0.27946532,-0.0042051077,0.07736981,-0.069108605,0.117748976,-0.16221404,0.071936846,0.47593117,0.0061392784,-0.15229583,-0.30128062,-0.020316243,-0.09107292
USP31,1.0825187,0.0015467405,-0.09070635,0.23294389,-0.24345815,0.11603534,-0.03440976,-0.04673302,0.019451976,-0.21898448,-0.09739697,0.21493137,0.1815468,0.3470838,0.3338039,-0.04144311,-0.11101365,-0.10236502,0.013175607,-0.24300218
USP32,-0.02824068,0.11994243,-0.4992664,-0.4370898,0.036854297,-0.56874084,0.012497604,-0.012893975,-0.03925413,0.37595704,-0.04658401,0.13011694,0.17360449,0.18551573,-0.8299649,0.0050619245,0.3309518,0.64172226,-0.0055119395,0.002810359
USP33,0.44205785,-0.11956096,0.09790659,0.27227402,-0.010514259,-0.74658394,0.017949939,0.19822419,0.018721819,-0.12762547,-0.05387366,-0.12759864,-0.010240078,0.0713706,-1.0636628,0.05441606,0.080907345,-0.08997321,-0.035104156,-0.16066432
USP34,1.1742085,0.016906857,-0.22388399,0.09872615,-0.08003712,-0.086031854,0.02579689,0.009614229,0.014424324,0.03167987,-0.016650558,-0.109781325,0.020858645,-0.01796484,-0.88576674,0.015121698,0.086289644,0.14938563,-0.018295646,-0.28368235
USP35,0.85436404,0.3219843,-0.1781553,-0.25907755,-0.07722676,-0.090396404,0.041377544,0.024616718,0.058567524,0.30663013,0.054585934,0.08700192,0.7086873,0.11447668,0.020197034,-0.0097721815,0.10333955,0.020596385,0.06670654,-0.05387366
USP36,1.299572,0.07395148,0.01128912,0.119423866,-0.037992,0.38656592,-0.0034689903,-0.030869246,-0.02514124,0.11380911,-0.05195737,0.026619434,0.1193285,0.081408024,0.5725026,-0.015640259,-0.11805296,0.19797087,0.061941147,-0.08004308
USP37,1.092732,0.07529259,-0.018918514,-0.18880367,0.038850307,0.18750429,0.019615889,-0.21642447,-0.019955635,0.16340017,-0.100797415,-0.030124187,0.3796637,0.16282201,0.09847283,-0.022304058,0.0031292439,0.46926737,0.05030632,-0.075405836
USP38,0.68328905,0.023399293,0.04082322,-0.18303171,0.09024739,-0.36740303,-0.007954985,-0.19535422,0.0018388033,0.005094707,0.037005544,-0.27421862,0.29237866,0.064343214,-1.029706,0.035836548,0.13813227,0.28601736,0.037570298,-0.2854742
USP39,1.0620117,0.09867549,0.03042221,-0.14714599,-0.014722347,-0.2297759,0.006788969,-0.30310154,-0.018954277,0.07070899,-0.021767616,0.06662011,0.24504662,0.3358245,0.69891214,0.032150745,-0.07471442,-0.23516417,0.116193295,-0.2834499
USP4,0.5377531,0.39473772,-0.62538385,-0.38354993,0.39096475,-0.293231,0.0073075294,-0.27657747,-0.08659959,0.3789723,0.11215806,0.18140078,-0.42683482,-0.29215813,-0.2670884,-0.017207861,0.0874877,0.39290786,0.046920776,-0.081038475
USP40,1.1306942,0.07255077,0.026136637,0.121089816,-0.029569864,-0.10198951,0.004976988,0.0890255,-0.0064969063,-0.24130046,-0.064881146,0.07409155,-0.17644018,-0.07776618,0.038906932,-0.0037372112,-0.08087754,-0.76215714,-0.0713408,0.14623404
