,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
HIVEP3,0.9998083,0.11622906,-0.06579161,0.20400286,-0.3081441,0.30608177,-0.007849932,-0.33606887,-0.0036656857,-0.14872551,-0.19071698,0.08240342,0.074625015,0.18956661,0.5192995,-0.0047385693,-0.20439625,-0.24881959,-0.03129244,-0.2968967
HK1,-0.24054497,0.100857764,-0.026512146,0.3924936,-0.105933845,0.57210624,-0.037500262,0.11828691,-0.055553764,-0.07214695,-0.12322068,0.10062009,0.6730005,0.67612606,0.06113276,-0.020993501,0.11369735,-0.24292544,0.08096397,-0.1695104
HK2,0.52512884,0.016701221,-0.2705574,-0.3133297,0.12575388,0.20523071,0.007820129,-0.4114747,-0.018942356,0.27276278,-0.03762245,0.017535686,0.5505562,0.11301041,0.123262405,-0.036418438,0.09549856,0.8712411,0.0016331673,0.12791157
HK3,-0.7917583,0.110429525,0.058430433,-0.25285482,0.2565086,-0.51184297,0.0313282,0.1149714,0.008672476,0.42105317,0.08403659,-0.054460764,0.30335784,-0.012922287,-0.7028878,0.007921457,0.11486411,-0.5783081,0.055617094,0.085514784
HKDC1,1.3085604,-0.07817745,0.006723404,0.13881028,-0.21268725,-0.046512485,-0.034061074,0.28437376,-0.011834502,0.0022232533,-0.15534759,-0.24878979,-0.09174347,-0.34285784,-0.56428313,0.057780743,-0.07164478,-0.93679726,0.011008978,0.18467009
HLA-A,0.6470412,0.41318238,-0.1805216,-0.0636369,0.119265914,-0.04647076,-0.015595555,-0.096422434,-0.0050216913,-0.054755807,-0.01989901,0.17549992,-0.091946125,0.014087558,0.66556036,0.026467443,0.021240115,0.21066368,0.09093583,-0.012466311
HLA-B,0.48546493,0.4792869,-0.51008165,-0.10275543,0.17561913,-0.3675133,-0.01810491,-0.22637546,-0.028631091,0.07149279,-0.03747344,0.32407045,-0.44051707,0.013121963,0.929603,0.012761354,0.10796785,0.26458204,-0.011670589,-0.043931603
HLA-C,0.2701044,0.3884256,-0.0055372715,-0.2740264,0.2839148,-0.42345488,-0.034824014,-0.146541,-0.07111728,0.039461255,0.14487505,0.12284517,-0.5111184,-0.1862675,0.19972324,-0.0007659197,0.040587783,-0.14442205,-0.035968423,0.13020337
HLA-DMA,0.8771241,0.48441887,0.23416877,0.106972456,-0.012737513,0.00615716,-0.02644062,-0.13751388,-0.0072717667,-0.39610863,-0.031346083,0.19406676,-0.017952919,-0.12019873,0.8204222,-0.043302774,-0.24017692,-0.24963021,0.087726116,0.056529045
HLA-DMB,0.9110093,0.4249692,0.3284335,0.404346,-0.12251735,-0.16006827,0.0009536743,-0.055098534,0.003606081,-0.647223,0.053226948,0.09445548,-0.09455681,-0.4255414,0.45307875,-0.06412268,-0.24036169,-0.14186502,0.050210953,0.010871887
HLA-DOA,1.2580395,0.15124083,0.23935437,0.26844144,-0.06122589,0.12239814,-0.017017126,-0.07868409,0.00017881393,-0.09158254,0.106453896,-0.080281496,-0.15354156,-0.35867095,0.57138205,-0.04389882,-0.24041533,-0.32690167,0.04746318,-0.14782548
HLA-DOB,1.0110825,0.34293085,0.14252514,0.50352216,-0.16888678,-0.087186694,-0.0024557114,-0.012342632,0.054207444,-0.22776127,0.13563037,0.08688867,-0.45410097,-0.44149458,0.5199522,-0.043678284,-0.13787597,-0.6152198,-0.00731349,-0.04656464
HLA-DPA1,0.87046623,0.31775832,0.24941564,0.24863482,-0.029724836,0.13642311,-0.012552738,-0.2583742,-0.0077962875,-0.25786757,-0.04631281,0.08754134,0.15280247,-0.030297041,0.7417381,-0.043475628,-0.24965405,-0.011026859,0.02976656,-0.021874905
HLA-DPB1,0.7807374,0.2740562,0.22689104,0.22399426,-0.10371804,0.17716289,-0.021451712,-0.18284917,-0.0048458576,-0.22006631,-0.049442053,0.0888288,0.08268952,-0.07299185,0.7493079,-0.031763315,-0.23955703,-0.005942583,0.039875507,-0.021332502
HLA-DQA1,0.8988619,0.28767586,0.23719072,0.18041134,-0.09803176,0.1573205,0.0010848045,-0.23055077,-0.014925003,-0.10561943,-0.03530383,0.09994507,0.06084442,-0.112867355,0.9316623,-0.06701946,-0.33020377,-0.14513135,0.009387732,-0.20974874
HLA-DQA2,0.5928874,0.42392612,-0.06484389,0.2256155,0.11252165,0.51255226,-0.01912117,-0.12953877,0.06532073,0.16649365,-0.098615885,0.05648136,0.13605356,0.2268374,0.44199228,0.020682812,-0.014322996,-0.13337135,0.170362,0.17727613
HLA-DQB1,0.7422745,0.113368034,0.21362305,0.09160936,-0.19698739,-0.021997094,0.029656291,-0.21253526,-0.044453144,-0.24252236,-0.022277236,0.15682578,0.10356903,-0.07318258,0.8568466,-0.109410286,-0.28167367,0.18014312,-0.046506524,-0.35185218
HLA-DRA,0.719738,0.4246652,0.40534735,0.3468752,-0.032043457,0.06427765,-0.00795126,-0.17365217,0.007987022,-0.4211545,-0.011867285,0.07350445,0.1473844,-0.2193749,0.7316172,-0.051522255,-0.21099448,-0.004351139,0.076556206,-0.05081296
HLA-DRB1,0.86287856,0.42147636,0.1689136,0.17796159,-0.11807084,0.1932621,-0.013715029,-0.26215315,0.00654459,-0.30248165,-0.08227229,0.06841421,0.06221533,0.008326769,0.7984042,-0.031757355,-0.20122528,-0.12062788,0.0030875206,-0.22338629
HLA-DRB5,1.1578381,-0.04554987,0.11355281,-0.016868114,-0.076407194,0.11398792,-0.011092424,-0.2608776,-0.0016450882,-0.16286373,-0.010228157,-0.006389618,0.12985468,0.008136034,0.57520866,-0.04040003,-0.23574233,-0.055873394,-0.042521954,-0.24226308
HLA-E,0.23558438,0.365147,-0.37185848,-0.23638606,0.11840761,-0.7182032,-0.006264448,-0.08901358,0.0038444996,0.027522445,-0.0111192465,0.05249679,-0.64531267,-0.22524297,0.19018948,0.06045401,0.20458996,-0.19245744,-0.025603175,0.037282705
HLA-F,0.71102977,0.19798875,-0.21516085,0.051641464,-0.14900565,0.0007033348,0.039833784,-0.03798604,-0.04249811,0.2901435,0.027114153,0.15779734,-0.099259615,-0.2595544,0.25236607,0.029927492,0.011336803,0.49892664,-0.010836124,0.1075387
HLCS,1.41882,-0.13874322,-0.11295378,0.3051743,-0.0853613,-0.13388395,0.026077032,-0.09012371,-0.029058754,-0.25746673,-0.1892373,0.053058565,-0.1556173,0.09402335,0.18262267,0.028406084,-0.057828426,-0.33371747,-0.09546727,-0.11590719
HLTF,1.3975888,-0.023570657,0.037509203,0.36966503,-0.09366572,0.031736493,-0.010454655,0.14781952,-0.017249584,-0.052294135,-0.09679496,-0.057289004,0.04694462,0.27792156,-0.54828227,0.017187,-0.06562173,-0.18764436,-0.082957745,-0.33589303
HLX,-0.55443645,0.26396513,-0.08676052,-0.37472844,0.34730434,-0.3633499,0.016760826,0.06893873,-0.0081419945,0.34668446,0.2860248,0.009536743,-0.1467228,-0.05133152,-0.37465096,-0.016200542,0.22538304,-0.4325986,0.015121698,-0.07852316
HM13,0.6667793,0.28432012,-0.006765127,-0.04324913,0.055778027,-0.20887852,-0.0028133392,-0.40410757,-0.010406971,0.13115406,-0.043845177,0.02887845,0.23021698,0.13216138,0.5251527,-0.044620037,-0.034743547,-0.08471012,0.06750822,-0.10646582
HMBOX1,1.1307315,-0.012372434,0.061058998,0.09843707,-0.063459575,-0.08237213,0.030317903,0.17089695,-0.02348274,0.05711764,0.08652359,0.06989688,0.14945865,-0.004681945,-0.45848787,-0.032387674,-0.11250675,0.31098723,0.04194528,0.011096895
HMBS,0.08709431,0.07519126,0.24326742,0.74205697,0.13933778,0.9553015,-0.0035464764,0.31350553,-0.0044345856,0.14338493,-0.01872778,0.097721815,0.51461756,0.28714836,0.2577454,-0.003132224,0.04965961,0.13662279,0.026676059,0.16542673
HMCES,1.4061809,0.059330463,0.024980307,0.052562356,-0.047251582,0.06989837,0.012207031,-0.14724731,-0.02259016,-0.12568831,-0.109770894,-0.036114454,-0.24191141,0.12449324,0.8123934,0.025719404,-0.17811656,-0.2065152,-0.029665232,-0.33977628
HMG20A,1.3860762,-0.02745688,0.011362135,0.20876527,-0.035348535,-0.14034659,0.012220442,-0.05133301,-0.005853176,-0.28303117,0.028534234,-0.022122264,0.22583753,0.019045174,-0.16317666,-0.043565035,-0.03821999,-0.14232546,-0.031085312,-0.34463853
HMG20B,0.7835448,0.24785995,0.047552586,-0.010347366,-0.08109808,-0.08597374,-0.02154708,0.058186054,0.054830313,-0.25316477,0.026261806,0.09920597,0.025767088,-0.18577576,0.784266,-0.009858608,0.09584427,-0.7584572,0.050771236,0.0031232834
HMGA1,0.6008625,0.23245811,0.032508373,0.14538765,-0.008273125,0.40901303,-0.03080368,-0.15153885,0.03334284,-0.18262863,-0.023198128,0.081050396,0.2317667,0.25193095,0.70552826,-0.035893917,-0.0072181225,-0.3188491,-0.03259182,-0.25983453
HMGB1,0.5706042,-0.2328382,0.34547895,0.32851547,0.35285205,-0.699556,0.0042542815,0.23884922,0.017948449,-0.18948327,0.025188923,0.03825724,0.15587807,-0.052987132,-0.8173452,0.007753074,0.05698353,0.21223277,0.065253675,0.078602135
HMGB2,-0.4931569,-0.24947524,0.14962554,0.016963482,0.7072568,-0.5386412,-0.014454126,0.21978617,-0.0044226646,0.39958358,0.18556714,0.012308359,0.35125613,0.06958246,-0.8405149,-0.013494492,0.07055998,0.60185194,0.14032125,0.16024113
HMGB3,-0.035446882,0.25741458,0.14356077,0.26769638,0.6642759,0.28107762,-0.005888939,-0.20055771,-0.019821525,0.12375414,0.082826614,0.055015087,0.6267041,0.44793487,0.17544925,-0.06406903,0.053840876,-0.078082085,0.0018268824,-0.2524078
HMGCL,-0.099918246,-0.007070601,0.09729564,-0.06560981,0.13797581,-0.60658455,-0.028635561,-0.061647594,0.034178793,-0.32331645,-0.11033416,0.035585463,0.23397803,0.24862438,0.11058897,0.011901557,-0.040248036,-1.0405123,-0.08536428,0.08457601
HMGCR,0.36286414,0.15317798,-0.1797229,0.026369095,0.07651448,-0.76583624,0.05158782,0.07171631,-0.013700128,-0.103765726,0.0098615885,0.074476,-0.06248951,-0.009924173,-0.9672493,0.010579824,0.18262863,0.31460524,-0.054177642,-0.08432865
HMGCS1,1.373893,0.08576214,0.19041002,0.32520592,0.023409724,0.15946627,-0.035119057,-0.24628639,-0.01128912,-0.22572577,0.032648444,-0.13177991,0.16524792,-0.052642822,-0.43917,-0.020426512,-0.18155277,0.18311143,-0.073334575,-0.21024048
HMGN1,0.8586347,0.04300475,0.18248558,0.42497516,0.28107762,0.10436177,0.017875433,-0.12697577,-0.009471178,0.05558133,0.008136034,0.04916191,0.2202928,0.0129163265,0.27660728,-0.060540438,-0.21548867,0.31817555,-0.01758933,-0.11854768
HMGN2,0.6018698,0.15025139,0.06353855,0.5432844,0.6122649,0.18817782,-0.025349855,-0.04852414,-0.01963973,-0.064724684,-0.083851814,0.21802783,0.33257604,0.12110472,0.15862584,-0.049853325,-0.2157867,-0.24234056,-0.050783157,0.015670061
HMGN3,0.7651508,-0.039827824,0.30403435,0.4099995,-0.0929445,-0.35960674,-0.04478097,0.048404932,0.00080764294,-0.4351884,-0.07261634,0.21217465,0.062271953,0.053665042,0.3648132,0.004661083,-0.018426776,-0.21585524,0.032031536,-0.113129616
HMGN4,1.0432028,0.089571625,0.16683191,0.4458949,-0.036524236,-0.5463772,0.015600771,-0.02342686,0.023245811,-0.4157588,0.015732646,0.01816973,-0.19710883,-0.10183379,-0.049269944,0.03575757,-0.05172789,-0.20468384,-0.060077757,-0.330545
HMGN5,-0.41776597,0.03478378,0.20952821,0.53014475,0.15660524,-0.7930726,-0.03504306,0.30759573,-0.002899766,0.003604591,0.021627545,0.3267333,-0.005827844,0.06817728,0.20693988,0.016541779,0.0121071935,-0.046630204,0.14677644,-0.13510883
HMGXB3,1.3857484,0.08625388,0.02733469,0.001257658,-0.06389618,0.29655695,-0.005352497,-0.094902515,-0.011122227,-0.03193617,-0.04683733,0.017154217,0.30725002,0.2143383,0.42555928,-0.013279915,-0.04543066,-0.18973947,0.03207922,-0.16247034
HMGXB4,1.1462748,0.16842186,0.08406788,0.1306653,0.14837086,-0.23473799,-0.023204088,-0.21475554,-0.0030592084,-0.2235815,0.059708953,-0.16123354,0.15442073,-0.06741136,-0.79923123,-0.0015407801,0.024612248,0.04031658,-0.08369088,-0.21043867
HMMR,0.31709224,0.12194514,0.33369362,0.60855675,0.5752944,0.15147924,-0.015143305,0.20279288,-0.046172738,0.1931727,0.08075237,0.15588552,0.5025737,0.3753513,-0.25825053,-0.0067941844,0.01821965,0.21080971,0.040946156,-0.048686564
HMOX1,0.4623115,0.2616942,0.11649728,-0.3446281,0.04054308,0.3617704,-0.017791986,-0.41499734,0.015330315,-0.4061103,-0.0024080276,-0.022131205,0.60501695,0.45037866,0.22771955,-0.057548285,-0.11925101,0.4966557,-0.012820959,0.11377931
HMOX2,0.5854517,-0.18329024,-0.11532009,0.025492907,-0.41603446,-0.3684163,0.001335144,-0.15743673,-0.039067864,-0.19278526,-0.11151135,0.05041957,-0.45448244,-0.16221702,0.6340742,0.057274103,-0.19257367,-0.75279176,-0.11732578,-0.063201785
HNMT,-0.56800395,0.10650903,0.36700517,0.22877157,0.009734929,-0.95438063,0.03117174,0.09111613,0.041390955,-0.6119698,-0.024294853,0.032790005,0.2778679,-0.096179545,-0.5435243,0.01128763,0.21769702,-0.11521876,0.047264993,0.10659695
HNRNPA0,1.3843894,0.13819933,0.081920624,0.16578436,-0.08585453,0.37372112,-0.016492605,-0.20843148,-0.018334389,-0.08576512,0.014561415,-0.17262101,0.013995171,-0.15333891,0.30887723,-0.01463294,-0.15465021,-0.09313822,0.03398657,-0.30303597
HNRNPA1,1.0658562,0.07582307,0.13514757,0.38452148,0.1580298,0.19567013,-0.013267994,-0.23291707,0.009709597,-0.10188818,-0.02617836,-0.03231764,0.29994845,-0.050973892,0.3446877,-0.0320673,-0.108361244,-0.027287006,0.05145669,-0.24840832
HNRNPA2B1,0.77971816,0.15033484,-0.100785494,0.09108782,0.16471148,-0.18724203,-0.013202429,-0.17334223,-0.020611286,0.23424625,0.048965216,0.19265413,0.35432577,0.21432638,0.13269186,-0.01732707,0.017791986,-0.035429,0.13108253,-0.28063655
HNRNPA3,1.1270761,0.1589179,-0.10005832,0.001847744,0.12178421,0.1718998,-0.011110306,-0.28682947,-0.030726194,0.22168756,-0.054454803,0.05260706,0.11537075,0.12617707,0.5080581,-0.0019073486,-0.06814599,0.17775297,0.08068085,-0.17566681
HNRNPAB,0.7945597,0.1276195,0.06133914,0.18776059,-0.09878278,0.18345714,0.025957823,-0.27384162,-0.0025451183,-0.13443828,0.0040709972,0.079512596,0.29738545,0.4769802,0.53688884,-0.018304586,0.07246137,-0.5226433,0.009936094,-0.3657639
HNRNPC,0.5210757,0.15179813,-0.10046661,0.062420964,0.1919806,-0.8927047,0.03426075,-0.039044023,0.025954843,-0.14562607,-0.06581247,0.09367168,-0.08199513,-0.17958581,0.09575188,0.027573109,0.11053383,0.22235215,0.08914769,0.03578663
HNRNPD,0.979054,0.10020137,-0.09731054,0.021278858,0.054335594,0.0072300434,-0.006610155,-0.28167963,-0.02399087,-0.033700466,-0.018405914,0.024664402,0.19370317,0.19692183,0.13167858,-0.0033318996,-0.049197674,-0.15859604,0.016736984,-0.26494265
HNRNPDL,1.4385223,0.026524067,0.0903666,0.22313595,0.16567111,-0.099009275,-0.013285875,-0.11689663,-0.0040471554,-0.041669607,0.007843971,0.012022257,0.1185894,0.06555319,0.05030036,-0.0028133392,-0.057071447,0.056785345,0.02527833,-0.12754202
HNRNPF,1.0840058,0.099658966,-0.09705424,-0.0074505806,-0.0032961369,-0.49461126,0.005656481,-0.26245713,-0.01886487,-0.15672445,-0.022888184,0.004827976,0.19863844,0.105303526,0.14633536,0.021892786,0.11919737,-0.1324892,0.011301041,-0.3081441
HNRNPH1,1.2696207,0.077944994,0.07022619,0.31645894,-0.03633499,0.16140342,-0.011861324,-0.031918287,-0.008779764,-0.044816732,-0.04838705,0.01962781,0.083333254,-0.02682209,0.21071434,-0.011688471,-0.087952614,0.0633657,0.016456842,-0.17955899
HNRNPH2,-0.09082258,-0.015535951,-0.2314061,-0.36389232,0.1954019,-0.893572,-0.000500679,-0.29821992,-0.026741624,-0.1412034,0.08532405,-0.10279715,-0.099805,-0.30221343,-0.64953566,-0.010591745,0.2302587,0.42101145,0.013560057,-0.038784742
HNRNPH3,1.0062307,0.39447248,-0.34550428,0.3355503,0.21465123,-0.38219988,-0.014933944,-0.13006628,-0.03271401,0.077053905,0.0152260065,0.30970275,0.0016361475,-0.1875639,0.09860098,-0.038930774,0.047913194,0.5781919,0.10360181,-0.09407103
HNRNPK,0.40155798,0.1341924,-0.38633943,-0.23198724,0.12535453,-0.71632564,0.0330016,-0.31375587,-0.025558472,-0.23316443,-0.04605204,0.057950616,0.03835261,0.07715374,-0.5243212,0.009773672,0.17286986,0.09705424,0.020468235,-0.18408298
HNRNPL,1.2873292,0.06107092,-0.19202232,-0.2371788,0.1101315,0.1437664,0.0011444092,-0.2889037,-0.047528744,-0.014221668,0.034224987,0.020128489,0.03912449,0.09816289,0.6196141,-0.019317865,-0.08305311,-0.08877516,0.058549643,-0.116199255
HNRNPLL,0.7746026,0.14966428,0.2538398,0.5575627,0.48891306,-0.4504025,-0.010375679,0.15372932,0.0016152859,0.3607422,0.13924092,-0.06739199,0.23899674,0.15347004,-0.31659007,0.028420985,0.07553995,0.07430315,0.15357584,-0.26914626
HNRNPM,1.1395752,0.11641979,-0.1591146,0.0071644783,-0.11501312,0.056636333,-0.010585785,-0.29802322,-0.010895729,-0.102734566,-0.044852495,0.05554557,0.12563467,0.11572838,0.33584833,-0.014156103,-0.16021729,-0.2874732,-0.016534328,-0.20575523
HNRNPR,1.4164001,0.13466477,0.06297231,0.28345585,0.007453561,0.0490427,0.0036507845,-0.23220181,0.0012218952,-0.24946034,-0.11878312,-0.08801818,0.1339376,0.21480918,0.08646846,-0.0008046627,-0.050741434,-0.2006501,-0.011402369,-0.34241676
HNRNPU,1.0964572,0.16355515,-0.39589405,-0.08429289,0.086182356,-0.2276957,-0.006699562,-0.3840804,-0.0531435,0.1460433,-0.10538101,0.15960932,0.08022785,0.090777874,0.30226707,-0.0009953976,-0.095164776,0.2044797,0.041526556,-0.14101267
HNRNPUL1,1.1250854,0.1734376,-0.12323856,-0.24029016,-0.04771948,0.30164123,-0.036108494,-0.17055273,0.006264448,0.09417534,-0.03838539,-0.15325546,0.022029877,0.11174083,0.32513738,0.012552738,0.033032894,-0.40202737,0.11385679,-0.29304028
HNRNPUL2,0.88422596,0.19969642,-0.4137516,-0.31793714,-0.13489723,-0.050807,-0.0003695488,-0.41585565,0.00052154064,-0.11828542,-0.13426244,-0.030687451,-0.061541796,0.11181831,0.2616018,-0.0006109476,0.0011950731,-0.7553339,0.0036627054,-0.33071637
HOMER1,1.3837695,-0.26091337,0.22756457,0.19600987,-0.020170212,-0.007724762,0.042504072,0.16198754,-0.024354458,-0.04066825,-0.07548928,-0.0523746,-0.008529425,0.08583069,-0.098359585,0.03477931,-0.16182661,0.35500526,0.06676316,-0.13696551
HOMER2,0.068582594,-0.6270647,-0.1574263,0.44053644,-0.121665,-0.24153739,0.0012919307,0.050881505,0.03860444,-0.30112118,0.09906739,0.013671815,0.30372292,-0.02540499,0.1439169,-0.14809072,0.1666233,0.075259805,-0.11765361,-0.4168898
HOMER3,-0.5370498,0.5096257,0.2193749,-0.4433304,0.009089708,-0.81336796,0.0114917755,-0.040227175,0.031796098,-0.18275082,0.113004446,0.16565025,0.14462173,-0.11707842,0.11844635,-0.010150671,0.1870513,-0.33373833,0.11585057,0.23816526
HOMEZ,0.06662309,-0.0017344952,-0.043296814,0.0348866,-0.20255744,-0.47210157,-0.013703108,-0.11512339,0.04377961,-0.32255352,-0.051385164,-0.14327765,0.13795793,-0.05160868,-0.072044134,0.008898973,-0.0068336725,-0.6525308,-0.083473325,-0.19707084
HOOK1,1.1334538,-0.021153688,0.4412055,0.66418797,0.056910515,0.11858493,0.014428794,0.1491785,-0.01526624,-0.07536709,0.101175904,-0.1353547,0.13539046,-0.20090789,-0.24381578,-0.048048794,-0.08409768,0.0061273575,-0.029854476,-0.28260797
HOOK2,0.71822554,0.33438057,0.03156215,-0.11546016,0.1270771,-0.74008703,-0.006172061,0.13973266,0.061264634,0.069366395,-0.03143847,0.18007308,-0.07701069,-0.33067763,0.09084344,0.0129669905,0.3137499,-0.53372234,0.095807016,0.25758147
HOOK3,0.6473303,0.09946525,0.1721859,-0.07773489,0.1310587,-0.5081296,0.033076108,0.03156513,0.030426681,-0.08011162,0.045304,-0.13967454,0.1924187,0.026723742,-0.93423575,0.008782744,0.0464499,0.14697313,0.07476956,-0.11392236
HOPX,0.7959485,-0.34143925,0.16540289,0.12913942,-0.28591156,-0.10506511,-0.019079447,-0.006508827,-0.020480156,-0.44922233,-0.071275234,0.19002557,0.24083257,0.09993315,0.4086256,0.02862215,-0.0149309635,0.0038862228,-0.01796484,0.24206638
HOTAIRM1,-0.104790926,0.34815633,-0.051677227,-0.45354366,-0.21795034,-0.3193915,-0.0127494335,-0.09723306,-0.043159723,-0.37522912,0.007867813,-0.019878149,-0.30030608,-0.23894906,-0.63726306,-0.05429387,-0.12229085,0.045746565,-0.047320127,0.18875003
HOXA9,-0.01167357,0.026920438,0.28094053,0.28900206,0.1696378,-0.35232902,0.028601289,-0.080779195,0.034210086,-0.13800263,-0.031659007,-0.04053712,0.28970242,0.020250678,-0.56754947,-0.047782063,0.04607439,-0.039327145,-0.08226335,-0.043141842
HOXB-AS1,1.3347208,0.17643571,0.12173653,-0.0022888184,-0.14220476,0.37170053,0.02759695,0.05953312,-0.03374815,0.08879304,-0.18171072,0.20600557,0.13891459,-0.02283454,0.43210387,-0.016492605,-0.18918514,-0.19441843,0.13473034,0.17842054
HOXB2,1.2556165,0.048714876,0.2765864,0.19073784,-0.29358268,0.25877357,0.04491806,-0.008028746,-0.05891919,0.06685257,-0.186795,0.06979406,0.32976866,0.1377821,0.5578637,-0.03734827,-0.13152361,0.14241934,0.06581545,0.08003712
HOXB3,1.3672769,-0.039362907,0.051039457,0.070768595,-0.2963543,0.11653304,0.03618598,0.13542771,-0.06728768,0.088870525,-0.09058714,0.21497607,0.114649534,0.11292696,0.29292703,-0.006699562,-0.054329634,-0.18641949,0.022029877,-0.056105852
HOXB4,1.1543185,-0.06109178,0.14413893,-0.10523796,-0.3977388,-0.10496974,0.03093779,0.11648536,-0.088107586,-0.09162724,-0.03053248,0.2875179,0.07138848,0.282982,0.5355418,-0.03374219,0.007033348,-0.1265794,-0.010386109,-0.04426837
HP,-0.429523,-0.16120672,0.018122792,0.3168583,0.38905442,-0.16300678,0.011855364,0.062409043,-0.05002618,0.6361574,0.16201735,0.16756952,0.7427186,0.46484768,0.012165308,-0.052320957,0.13542771,-0.020182133,0.047051907,-0.052183867
HP1BP3,1.2870073,-0.057274103,-0.180763,0.236547,0.017291307,-0.10101795,-0.023341179,0.10035038,-0.030648708,-0.09229183,-0.015211105,0.17152429,0.15758276,0.063204765,-0.13749003,-0.038462877,-0.0036716461,0.31501055,-0.033283234,-0.14359355
HPCAL1,0.40550232,0.2521038,-0.367862,-0.8084297,0.08880496,-0.4416585,0.03556013,-0.586462,-0.043594837,-0.009953976,0.1830101,0.11486411,0.008887053,-0.23076534,0.48860312,-0.039595366,0.27979612,0.41562915,-0.013381243,0.19315481
HPCAL4,0.8146316,0.057020783,0.1635462,0.5069643,-0.13864636,0.24610162,-0.03505051,0.097599626,0.03300011,-0.123009086,-0.15186071,-0.14649332,-0.2429992,-0.39139688,0.26999414,0.023052096,-0.15566647,-0.55336356,-0.037637353,-0.11652708
HPF1,-0.17261058,-0.27004033,0.39984435,0.5861372,-0.06390661,-0.6319642,-0.019487739,-0.025111437,0.037378073,-0.33694208,-0.092317164,-0.12624711,0.25656223,0.068579614,-0.3745988,0.038726628,-0.15339255,-0.56079924,-0.045217574,-0.22254437
HPGD,-0.63272715,-0.07665157,0.21565557,-0.3766954,0.0816524,-0.4965365,-0.019299984,0.29705763,0.072300434,-0.09473562,0.02092123,-0.20749569,0.06752014,0.038337708,-0.8883357,-0.0013828278,0.099384785,-0.18228889,0.04224181,0.15147924
HPRT1,0.39806217,-0.005094707,0.5858466,0.30200034,0.28156936,-0.45559704,0.009514391,-0.0044092536,0.028462708,0.07059723,-0.0153288245,-0.1829803,0.4630342,0.14222115,-0.42131394,-0.0020578504,-0.09898096,-0.2148673,0.033660233,-0.099523365
HPS1,-0.017929077,0.08203387,0.12616217,0.28321147,-0.30433238,0.8003652,-0.01808405,0.46223402,0.0015348196,-0.30614138,-0.060355663,0.149858,0.16197562,0.34284294,0.26997626,-0.0012695789,-0.06277561,-0.6195724,0.040388107,0.3250867
HPS3,1.2357593,0.27471185,-0.20952225,0.013780594,-0.022643805,-0.2568245,0.010097027,-0.20632744,0.019073486,-0.19828081,-0.12356043,-0.08493662,0.13287663,0.14702082,-0.32061934,0.016212463,0.0161767,-0.3704965,-0.024366379,-0.3689289
HPS4,1.4126182,0.19248724,0.05838871,0.3834188,0.17199516,0.27000308,-0.024658442,-0.055855513,0.0063061714,-0.19010901,-0.0021576881,-0.037008524,0.060403347,-0.045591593,0.0051617622,-0.046294928,-0.15366673,-0.16515255,-0.04336834,-0.19798875
HPS5,1.1563063,0.0508368,0.045761466,-0.15503168,-0.20524263,-0.24146736,-0.0039696693,-0.17223358,-0.013849139,-0.088351965,-0.09100437,-0.010278821,0.4767239,0.25675297,-0.15155077,-0.01758933,0.014773011,0.18473566,-0.0028550625,-0.18530786
HPS6,0.09796023,-0.083619356,0.06864071,-0.22901297,-0.26065707,-0.38487315,0.02785325,-0.08189082,0.014251471,-0.42162538,0.032907724,-0.21884441,-0.13938546,-0.066679716,-0.44605732,-0.0021994114,0.016599894,-0.6886959,-0.16184449,-0.07305145
HPSE,0.200665,0.2827525,0.04133284,-0.28549135,-0.17256737,-0.74471533,0.026124716,-0.18698573,0.030630827,-0.15889704,0.1285404,-0.1429081,-0.12229085,-0.3228873,-0.24634898,-0.012397766,0.10678172,-0.23903847,-0.06275475,-0.2192527
HRAS,0.71676373,-0.06864667,0.18463135,0.012660027,-0.22248626,-0.071787834,-0.016528368,-0.04246831,0.0008702278,-0.18482804,-0.06570518,0.11732578,0.040960312,0.046479702,0.9476453,-0.023013353,-0.18285811,-0.4723966,-0.0047951937,-0.033545494
HRH2,-0.73904395,-0.025570393,-0.14908314,-0.48100948,-0.118649006,-0.53919554,0.021415949,0.002026558,0.03937483,-0.014483929,0.05248785,-0.045645237,0.043195486,0.036764145,-0.55098534,0.010561943,0.27513504,-0.46313405,-0.0076413155,-0.05413294
HRK,0.11916906,0.19142479,-0.084516406,0.26652813,-0.2708882,-0.26517212,-0.015228987,0.36624074,0.044196844,-0.273858,0.047823787,0.10091066,-0.3758818,-0.14599562,-0.4395753,-0.018396974,0.09215474,-0.50465316,-0.07665306,-0.44353753
HS1BP3,-0.23034215,0.18074512,-0.22652745,-0.4631579,0.023597479,-0.679332,-0.035595894,-0.051927567,0.03016591,-0.31033158,0.062555075,0.048929453,-0.3055036,-0.1545012,-0.25615096,0.0037133694,0.011301041,-0.62419176,-0.118511915,0.14842153
HS2ST1,0.54153204,0.10159612,0.100785494,0.09994507,0.11317134,-0.7339746,0.07748008,-0.14528334,0.015687943,-0.29298365,-0.0041246414,-0.15516579,0.0054359436,-0.06631613,-0.7558614,0.038075447,0.13364553,0.011122227,-0.07901788,-0.22328198
