pc,var_explained,cum_var,direction,library,top_term,top_adj_p,combined_score
6,0.021431470289826393,0.7165903449058533,neg,TRRUST_Transcription_Factors_2019,AATF mouse,0.4001783243298372,56.46591775214154
6,0.021431470289826393,0.7165903449058533,neg,Human_Phenotype_Ontology,Macrocytic anemia (HP:0001972),1.899320944888174e-08,772.956559825794
7,0.016563845798373222,0.7331541776657104,pos,GO_Biological_Process_2023,Lipoprotein Transport (GO:0042953),0.11782564394006653,330.92884130781977
7,0.016563845798373222,0.7331541776657104,pos,GO_Molecular_Function_2023,Glutamate Receptor Binding (GO:0035254),0.12584543226923708,145.36282995258424
7,0.016563845798373222,0.7331541776657104,pos,GO_Cellular_Component_2023,Lysosome (GO:0005764),0.21596214944132625,17.448363079413618
7,0.016563845798373222,0.7331541776657104,pos,KEGG_2021_Human,Cholesterol metabolism,0.027407956629135477,99.9010527744165
7,0.016563845798373222,0.7331541776657104,pos,Reactome_2022,Amino Acids Regulate mTORC1 R-HSA-9639288,0.12568649628924977,85.27544560100635
7,0.016563845798373222,0.7331541776657104,pos,WikiPathway_2023_Human,Cholesterol Metabolism WP5304,0.026041905584819267,86.81333560855745
7,0.016563845798373222,0.7331541776657104,pos,MSigDB_Hallmark_2020,Notch Signaling,0.1420720430588177,57.46436072810552
7,0.016563845798373222,0.7331541776657104,pos,ChEA_2022,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,0.0026578051604885084,25.074773870013694
7,0.016563845798373222,0.7331541776657104,pos,TRRUST_Transcription_Factors_2019,SNAI2 mouse,0.2888117851487092,136.4820277236255
7,0.016563845798373222,0.7331541776657104,pos,Human_Phenotype_Ontology,Vertebral compression fractures (HP:0002953),0.47762543726515816,101.78154350719133
7,0.016563845798373222,0.7331541776657104,neg,GO_Biological_Process_2023,Membrane Organization (GO:0061024),0.06719757774531347,58.26078219411526
7,0.016563845798373222,0.7331541776657104,neg,GO_Molecular_Function_2023,Actin Binding (GO:0003779),0.087462861534997,35.30806489873623
7,0.016563845798373222,0.7331541776657104,neg,GO_Cellular_Component_2023,Specific Granule (GO:0042581),0.0006444557407908093,85.1868217675646
7,0.016563845798373222,0.7331541776657104,neg,KEGG_2021_Human,Pentose phosphate pathway,0.5375911540867864,63.79690278522437
7,0.016563845798373222,0.7331541776657104,neg,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,0.00016931131501087552,68.59566036374468
7,0.016563845798373222,0.7331541776657104,neg,WikiPathway_2023_Human,Ciliary Landscape WP4352,0.18691791889128698,26.178702759434113
7,0.016563845798373222,0.7331541776657104,neg,MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,0.3660767889870809,15.337914209660529
7,0.016563845798373222,0.7331541776657104,neg,ChEA_2022,CREB1 23762244 ChIP-Seq HIPPOCAMPUS Rat,5.183718702358762e-06,53.94857144190793
7,0.016563845798373222,0.7331541776657104,neg,TRRUST_Transcription_Factors_2019,SMARCA4 mouse,0.45906322587111914,49.19901329869125
7,0.016563845798373222,0.7331541776657104,neg,Human_Phenotype_Ontology,Fibular aplasia (HP:0002990),0.028335398818417273,593.3776232841345
8,0.014018694870173931,0.7471728920936584,pos,GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.0002283252936524664,474.90568175648224
