pc,var_explained,cum_var,direction,best_term_overall,best_library_overall,best_adj_p_overall,best_combined_overall
89,0.0004533681785687804,0.9095830321311951,neg,heme Metabolism,MSigDB_Hallmark_2020,2.892709830409495e-05,93.06883213570319
90,0.0004456652677617967,0.9100286960601807,pos,Glycerophospholipid Catabolism R-HSA-6814848,Reactome_2022,0.016803462966179517,776.6239908457204
90,0.0004456652677617967,0.9100286960601807,neg,JUND human,TRRUST_Transcription_Factors_2019,0.033429384500224556,106.80126422611052
91,0.0004376517317723483,0.9104663729667664,pos,Cholesterol Biosynthesis R-HSA-191273,Reactome_2022,0.00260524920652747,293.4914392101124
91,0.0004376517317723483,0.9104663729667664,neg,NR1H4 human,TRRUST_Transcription_Factors_2019,0.07776603693191576,122.58377707877821
92,0.000432920700404793,0.91089928150177,pos,RFXANK human,TRRUST_Transcription_Factors_2019,0.022559707331439888,195.84402098106767
92,0.000432920700404793,0.91089928150177,neg,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.774959008299482e-06,116.41047380303489
93,0.00042580821900628507,0.9113250970840454,pos,Smooth Muscle Contraction R-HSA-445355,Reactome_2022,0.00010884225674333787,305.80839613375537
93,0.00042580821900628507,0.9113250970840454,neg,CEBPA human,TRRUST_Transcription_Factors_2019,0.015993917586995282,96.67719560223861
94,0.00042059269617311656,0.9117456674575806,pos,KRAS Signaling Up,MSigDB_Hallmark_2020,0.0014186389364873756,55.79685681599258
94,0.00042059269617311656,0.9117456674575806,neg,Negative Regulation Of B Cell Proliferation (GO:0030889),GO_Biological_Process_2023,0.12392019401214291,391.61775629527256
95,0.00041655797394923866,0.9121622443199158,pos,Cholesterol Homeostasis,MSigDB_Hallmark_2020,0.0026217843338191675,82.87135728306936
95,0.00041655797394923866,0.9121622443199158,neg,TRERF1 human,TRRUST_Transcription_Factors_2019,0.0037824528190802498,776.6239908457204
96,0.0004114004841540009,0.9125736355781555,pos,Complement,MSigDB_Hallmark_2020,0.0031352752573801518,41.45060631295679
