tissue,pc,score
blood,2,27.89739990234375
blood,2,46.78927993774414
blood,2,-45.298526763916016
blood,2,-30.17333984375
blood,2,-19.49400520324707
blood,2,45.158958435058594
blood,2,-0.36324119567871094
blood,2,23.09451675415039
blood,2,-98.02749633789062
blood,2,-19.75076675415039
blood,2,42.44929885864258
blood,2,37.00230407714844
blood,2,-63.149017333984375
blood,2,75.90731048583984
blood,2,-6.950542449951172
blood,2,80.23762512207031
blood,2,-16.120119094848633
blood,2,13.286399841308594
blood,2,-36.42978286743164
blood,2,-56.119388580322266
blood,2,-61.76738739013672
blood,2,-13.555794715881348
blood,2,63.63248062133789
blood,2,-47.66826248168945
blood,2,-40.32696533203125
blood,2,-14.548690795898438
blood,2,-11.835159301757812
blood,2,-131.24575805664062
blood,2,-6.4692535400390625
blood,2,-31.178905487060547
blood,2,-0.8273389935493469
blood,2,13.37793254852295
blood,2,41.876155853271484
blood,2,30.316389083862305
blood,2,-23.80526351928711
blood,2,-44.517276763916016
blood,2,59.62732696533203
blood,2,-110.48759460449219
