pc,var_explained_pct,cum_var_pct,pos_term,pos_library,pos_adj_p,neg_term,neg_library,neg_adj_p,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
89,0.045336818,90.958303,Hypoxia,MSigDB_Hallmark_2020,0.0072206339260876,heme Metabolism,MSigDB_Hallmark_2020,2.892709830409495e-05,SMTSISCH,0.0406886732950827,SMNABTCH,0.2259617655497087
90,0.044566527,91.00287,Glycerophospholipid Catabolism R-HSA-6814848,Reactome_2022,0.0168034629661795,JUND human,TRRUST_Transcription_Factors_2019,0.0334293845002245,SMRDLGTH,0.0518535867964136,SMNABTCH,0.1496285392213646
91,0.043765173000000004,91.04664,Cholesterol Biosynthesis R-HSA-191273,Reactome_2022,0.0026052492065274,NR1H4 human,TRRUST_Transcription_Factors_2019,0.0777660369319157,AGE_mid,0.0672447386503679,SMNABTCH,0.2064336805001138
92,0.04329207,91.08993,RFXANK human,TRRUST_Transcription_Factors_2019,0.0225597073314398,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,4.774959008299482e-06,SMRIN,0.0500147227805992,SMNABTCH,0.1586658734518294
93,0.042580822,91.13251,Smooth Muscle Contraction R-HSA-445355,Reactome_2022,0.0001088422567433,CEBPA human,TRRUST_Transcription_Factors_2019,0.0159939175869952,AGE_mid,0.0876020173348866,SMNABTCH,0.1395597159528957
94,0.042059269999999996,91.174567,KRAS Signaling Up,MSigDB_Hallmark_2020,0.0014186389364873,Negative Regulation Of B Cell Proliferation (GO:0030889),GO_Biological_Process_2023,0.1239201940121429,SMRIN,0.0637771692708028,SMNABTCH,0.2274528009511037
95,0.041655797,91.216224,Cholesterol Homeostasis,MSigDB_Hallmark_2020,0.0026217843338191,TRERF1 human,TRRUST_Transcription_Factors_2019,0.0037824528190802,DTHHRDY,0.0416666572940295,SMNABTCH,0.1799329118069295
96,0.041140048,91.257364,Complement,MSigDB_Hallmark_2020,0.0031352752573801,HOXB7 human,TRRUST_Transcription_Factors_2019,0.0165002432244429,AGE_mid,0.060099220994447,SMNABTCH,0.1875399863050305
97,0.040765657,91.29813,Apoptosis,MSigDB_Hallmark_2020,0.0086274193869553,Herpes simplex virus 1 infection,KEGG_2021_Human,2.362741808008581e-07,SMRDLGTH,0.0458670642548932,SMNABTCH,0.1677787663241127
98,0.040166376999999996,91.338295,TNFs Bind Their Physiological Receptors R-HSA-5669034,Reactome_2022,0.0045994135313974,mTORC1 Signaling,MSigDB_Hallmark_2020,0.0014878408358282,SMRDLGTH,0.0735991027315655,SMNABTCH,0.2061623332777808
99,0.03963274,91.377926,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0002048038867772,Sarcomere Organization (GO:0045214),GO_Biological_Process_2023,0.0120235173931885,SMRIN,0.0276894551150882,SMNABTCH,0.1488073635413918
100,0.038527796,91.416454,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0005213811072547,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0012802351378056,SMRDLGTH,0.06235980171486,SMNABTCH,0.2907843966940323
101,0.038123425,91.45457999999999,Myogenesis,MSigDB_Hallmark_2020,0.0326919463652107,RELA human,TRRUST_Transcription_Factors_2019,2.634795921303361e-07,SMRIN,0.0496462701442834,SMNABTCH,0.1635830427529779
